unit,X,Z,Y
AGO,5.36,5.6347895,7.77
ARG,6.39,4.232656,9.13
AUS,9.32,2.1459312,9.9
BFA,4.45,5.6347895,6.85
BGD,5.14,4.268438,6.88
BHS,7.5,4.4426513,9.29
BOL,5.64,4.26268,7.93
BRA,7.91,4.26268,8.73
CAN,9.73,2.7788193,9.99
CHL,7.82,4.232656,9.34
CIV,7.0,6.504288,7.44
CMR,6.45,5.6347895,7.5
COG,4.68,5.480639,7.42
COL,7.32,4.26268,8.81
CRI,7.05,4.3579903,8.79
DOM,6.18,4.8675346,8.36
DZA,6.5,4.3592696,8.39
ECU,6.55,4.26268,8.47
EGY,6.77,4.2165623,7.95
ETH,5.73,3.2580965,6.11
GAB,7.82,5.6347895,8.9
GHA,6.27,6.504288,7.37
GIN,6.55,6.1800165,7.49
GMB,8.27,7.293018,7.27
GTM,5.14,4.26268,8.29
GUY,5.89,3.4713452,7.9
HKG,8.14,2.7013612,10.05
HND,5.32,4.3579903,7.69
HTI,3.73,4.8675346,7.15
IDN,7.59,5.1357985,7.33
IND,8.27,3.8842406,7.33
JAM,7.09,4.8675346,8.19
KEN,6.05,4.9767337,7.06
LKA,6.05,4.245634,7.73
MAR,7.09,4.3592696,8.04
MDG,4.45,6.284209,6.84
MEX,7.5,4.26268,8.94
MLI,4.0,7.986165,6.57
MLT,7.23,2.791165,9.43
MYS,7.95,2.8735647,8.89
NER,5.0,5.9914646,6.73
NGA,5.55,7.6029005,6.81
NIC,5.23,5.095589,7.54
NZL,9.73,2.1459312,9.76
PAK,6.05,3.6106477,7.35
PAN,5.91,5.095589,8.84
PER,5.77,4.26268,8.4
PRY,6.95,4.3579903,8.21
SDN,4.0,4.479607,7.31
SEN,6.0,5.103883,7.4
SGP,9.32,2.8735647,10.15
SLE,5.82,6.1800165,6.25
SLV,5.0,4.3579903,7.95
TGO,6.91,6.504288,7.22
TTO,7.45,4.4426513,8.77
TUN,6.45,4.1431346,8.48
TZA,6.64,4.9767337,6.25
UGA,4.45,5.6347895,6.97
URY,7.0,4.26268,9.03
USA,10.0,2.7080503,10.22
VEN,7.14,4.3579903,9.07
VNM,6.41,4.9416423,7.28
ZAF,6.86,2.74084,8.89
ZAR,3.5,5.480639,6.87
