unit,X,Z,Y
1,7,0,6.306275367736816
2,12,0,6.175867080688477
3,12,0,6.580639362335205
4,11,1,5.521461009979248
5,12,1,6.591673851013184
6,12,1,6.214608192443848
7,18,1,6.336825847625732
8,14,1,6.41017484664917
9,12,1,6.052089214324951
10,12,1,6.244166851043701
11,9,1,5.41610050201416
12,12,1,5.991464614868164
13,11,1,6.03308629989624
14,11,1,5.379897117614746
15,16,1,6.795705795288086
16,14,1,5.703782558441162
17,12,1,5.846438884735107
18,14,1,6.48920488357544
19,10,1,6.3543701171875
20,12,1,6.475432872772217
21,18,1,6.850126266479492
22,18,1,6.419994831085205
23,15,1,6.587550163269043
24,12,1,6.403573989868164
25,12,1,6.541029930114746
26,18,1,7.244227409362793
27,12,1,5.703782558441162
28,18,1,7.495542049407959
29,12,1,6.023447513580322
30,14,1,6.448889255523682
31,12,1,5.337538242340088
32,12,1,6.124683380126953
33,16,1,6.714170455932617
34,18,1,6.357842445373535
35,11,1,5.541263580322266
36,16,1,6.869014263153076
37,10,1,6.850126266479492
38,18,1,7.044033050537109
39,6,1,5.780743598937988
40,11,1,5.459585666656494
41,12,1,6.907755374908447
42,9,1,6.175867080688477
43,15,1,6.436150550842285
44,11,1,6.476972579956055
45,12,1,5.840641498565674
46,16,1,5.940171241760254
47,12,1,5.866467952728272
48,13,1,6.490723609924316
49,17,1,6.431331157684326
50,12,1,6.086774826049805
51,12,1,6.603943824768066
52,11,1,5.63478946685791
53,10,1,6.073044300079346
54,12,1,6.558197975158691
55,12,1,6.052089214324951
56,12,1,6.347389221191406
57,16,1,6.287858486175537
58,16,1,6.606650352478027
59,13,1,6.511745452880859
60,12,1,6.6450910568237305
61,12,1,6.383506774902344
62,9,1,5.361292362213135
63,16,1,7.354362487792969
64,16,1,6.651571750640869
65,12,1,6.396929740905762
66,18,1,6.541029930114746
67,13,1,6.345636367797852
68,14,1,6.070737838745117
69,15,1,6.287858486175537
70,12,1,6.440946578979492
71,8,1,6.175867080688477
72,12,1,6.300786018371582
73,12,1,6.356107711791992
74,16,1,6.551080226898193
75,16,1,6.669497966766357
76,17,1,6.919683933258057
77,12,1,6.630683422088623
78,14,1,6.398594856262207
79,12,1,5.64544677734375
80,12,1,5.521461009979248
81,12,1,6.214608192443848
82,11,1,6.309918403625488
83,12,1,7.041411876678467
84,18,1,6.697034358978272
85,12,1,5.746203422546387
86,18,1,6.5944132804870605
87,16,1,6.437751770019531
88,14,1,6.376727104187012
89,14,1,5.926926136016846
90,16,1,6.705638885498047
91,14,1,6.762729644775391
92,15,1,5.857933044433594
93,13,1,5.308267593383789
94,13,1,6.224558353424072
95,17,1,6.704414367675781
96,18,1,6.437751770019531
97,18,1,6.6450910568237305
98,17,1,6.214608192443848
99,17,1,6.428105354309082
100,12,1,6.476972579956055
101,18,1,6.6450910568237305
102,12,1,6.2383246421813965
103,18,1,6.437751770019531
104,14,1,7.0130157470703125
105,13,1,6.580639362335205
106,14,1,7.050989627838135
107,18,1,6.717804908752441
108,16,1,6.827629089355469
109,17,1,6.981005668640137
110,12,1,6.437751770019531
111,13,1,6.131226539611816
112,14,1,6.802394866943359
113,18,1,6.52502965927124
114,12,1,6.018593311309815
115,13,1,6.437751770019531
116,18,1,6.912742614746094
117,11,1,6.586171627044678
118,15,1,6.620073318481445
119,14,1,6.270988464355469
120,17,1,6.8793559074401855
121,12,1,6.156979084014893
122,12,1,5.783825397491455
123,12,1,6.774223804473877
124,13,1,6.437751770019531
125,12,1,5.820083141326904
126,16,1,6.175867080688477
127,9,1,6.476972579956055
128,16,1,5.948034763336182
129,18,1,6.869014263153076
130,16,1,6.421622276306152
131,14,1,6.553933620452881
132,14,1,6.453625202178955
133,12,1,5.2983174324035645
134,12,1,6.705638885498047
135,14,1,6.357842445373535
136,17,1,6.144185543060303
137,16,1,6.828711986541748
138,16,1,6.675823211669922
139,14,1,6.453625202178955
140,12,1,6.345636367797852
141,16,1,6.558197975158691
142,14,1,6.453625202178955
143,12,1,6.542471885681152
144,13,1,6.421622276306152
145,16,1,6.135564804077148
146,12,1,6.762729644775391
147,18,1,6.602587699890137
148,12,1,7.244227409362793
149,12,1,6.694561958312988
150,16,1,6.483107566833496
151,12,1,5.703782558441162
152,16,1,6.357842445373535
153,16,1,5.579730033874512
154,18,1,6.3868794441223145
155,17,1,5.783825397491455
156,16,1,5.953243255615234
157,18,1,6.907755374908447
158,18,1,6.142037391662598
159,16,1,6.086774826049805
160,16,1,6.437751770019531
161,17,1,5.652489185333252
162,14,1,6.476972579956055
163,13,1,6.694561958312988
164,12,1,6.214608192443848
165,16,1,6.722630023956299
166,12,1,6.214608192443848
167,17,1,6.541029930114746
168,12,1,7.003065586090088
169,12,1,6.637258052825928
170,12,1,6.678342342376709
171,16,1,5.80814266204834
172,18,1,6.0137152671813965
173,16,1,6.762729644775391
174,12,1,6.788971900939941
175,12,1,6.511745452880859
176,12,1,6.551080226898193
177,18,1,5.521461009979248
178,11,1,6.437751770019531
179,13,1,6.03308629989624
180,13,1,6.356107711791992
181,12,1,6.418365001678467
182,12,1,6.551080226898193
183,12,1,6.10924768447876
184,16,1,6.214608192443848
185,12,1,6.242223262786865
186,16,1,5.521461009979248
187,12,1,5.752572536468506
188,12,1,5.926926136016846
189,15,1,6.124683380126953
190,12,1,5.616771221160889
191,12,1,6.857513904571533
192,16,1,7.0166096687316895
193,16,1,5.666426658630371
194,16,1,6.214608192443848
195,18,1,6.587550163269043
196,18,1,7.14282751083374
197,17,1,6.418365001678467
198,12,1,6.300786018371582
199,13,1,5.627621173858643
200,18,1,7.273786544799805
201,16,1,6.902742862701416
202,12,1,6.551080226898193
203,16,1,6.357842445373535
