unit,X,Z,Y
1,-0.3562664985656738,7.5,8.313852310180664
2,0.0053217415697872,5.0,8.1507568359375
3,0.3321183323860168,6.0,7.73848819732666
4,0.5740746259689331,6.0,7.533693790435791
5,-0.1901940554380417,3.5,8.8371000289917
6,-0.1167776361107826,4.5,8.631414413452148
7,-0.2332312166690826,4.5,8.508959770202637
8,-0.0763671994209289,4.0,7.689371109008789
9,-0.3565315902233124,4.0,9.139918327331545
10,0.4002406001091003,12.5,8.823647499084473
11,0.4556974172592163,9.0,7.562681198120117
12,0.3823572099208832,7.5,7.811973571777344
13,0.2754308581352234,4.5,9.084437370300291
14,0.2101931720972061,4.5,8.447843551635742
15,-0.0715734809637069,6.0,8.88737678527832
16,-0.169308990240097,4.0,8.240120887756348
17,0.2424352467060089,8.0,7.615790843963623
18,0.1558078527450561,8.0,7.967280387878418
19,0.1131428331136703,7.5,7.090076923370361
20,0.0845573544502258,5.5,5.135798454284668
21,0.2231435477733612,5.5,7.003065586090088
22,-0.0604607984423637,3.0,7.816013813018799
23,-0.4741705060005188,3.5,8.718500137329102
24,-0.7570472359657288,5.0,8.822469711303711
25,-0.738400399684906,5.5,7.930206298828125
26,-0.7216391563415527,4.0,7.484368801116943
27,-0.5492383241653442,3.0,7.654443264007568
28,-0.6182209253311157,2.5,8.456380844116211
29,-0.5355522632598877,2.5,7.882314682006836
30,-0.4324291348457336,8.0,8.831274032592773
31,-0.968239963054657,8.0,6.975413799285889
32,-0.3561064004898071,6.5,6.665683746337891
33,0.3886825740337372,6.5,8.144679069519043
34,0.35338294506073,6.5,8.683554649353027
35,0.3278542459011078,6.5,8.14902400970459
36,0.4750556945800781,6.5,6.993933200836182
37,0.2192450612783432,4.5,8.402904510498047
38,-0.0219525191932916,4.5,8.709465026855469
39,-0.5691232085227966,5.0,9.175230979919434
40,-0.8467407822608948,4.5,8.97208309173584
41,-1.236952781677246,5.0,7.59839916229248
42,-0.8805838227272034,5.0,8.032685279846191
43,-0.7965666651725769,4.0,8.61703872680664
44,-0.6439281105995178,4.0,7.705262660980225
45,-0.8063355684280396,5.5,7.326465606689453
46,-0.2238421291112899,6.0,7.536364078521728
47,0.1911357194185257,8.0,7.261927127838135
48,0.2384957075119018,8.0,7.816013813018799
49,0.113134741783142,6.0,7.99799919128418
50,0.0571953952312469,4.5,7.444248676300049
51,-0.2598806619644165,4.5,8.873468399047852
52,-0.24516162276268,4.0,8.833462715148926
53,-0.5116291046142578,3.5,8.470730781555176
54,-0.8258060216903687,5.5,9.16951847076416
55,-0.4792649745941162,3.5,8.88737678527832
56,-0.2348572015762329,5.0,7.958576679229736
57,-0.3121461868286133,6.5,8.69533920288086
58,-0.3733378946781158,6.5,7.635303974151611
59,-0.4691620767116546,3.5,8.420681953430176
60,-0.5825849771499634,4.0,8.711113929748535
61,-0.0429074950516223,5.0,7.130898952484131
62,0.1108765751123428,5.0,7.939158916473389
63,-0.5159620642662048,8.0,8.41405200958252
64,-0.0814379751682281,3.0,7.158514022827148
65,-0.2905641794204712,7.0,7.512071132659912
66,-0.4446188509464264,7.0,7.816013813018799
67,-0.4885265231132507,4.0,9.067047119140623
68,-0.2065077722072601,5.0,7.533693790435791
69,0.1638777703046798,8.0,7.038783550262451
70,0.1695416122674942,6.5,6.956545352935791
71,-0.2130705118179321,4.0,8.359369277954102
72,-0.4478639662265777,4.0,9.058354377746582
73,-0.599719762802124,4.0,9.154828071594238
74,-0.391042023897171,4.0,8.302018165588379
75,-0.4351881742477417,4.0,6.774223804473877
76,-0.6199623346328735,3.0,9.30018138885498
77,-0.3665867745876312,3.0,8.047189712524414
78,-0.4007208943367004,3.0,8.405143737792969
79,-0.3277976214885711,3.5,8.416267395019531
80,-0.3765828013420105,4.0,7.383989334106445
81,-0.2769292294979095,4.0,5.913503170013428
82,-0.3160920441150665,3.0,8.877660751342773
83,-0.2398286610841751,4.0,8.637639045715332
84,-0.2887064516544342,4.0,8.675905227661133
85,-0.1146450787782669,3.0,7.989560604095459
86,-0.1523744165897369,5.0,8.67419719696045
87,-0.5202174186706543,5.0,9.28544807434082
88,-0.4595874845981598,3.5,8.026169776916504
89,-0.5630940794944763,3.0,7.832014083862305
90,-0.7946344017982483,3.0,8.3870849609375
91,-0.8963362574577332,3.0,8.845057487487793
92,-1.1624025106430054,3.5,8.794824600219727
93,-0.8453472852706909,4.5,8.146129608154297
94,-0.0968154147267341,4.5,7.114769458770752
95,0.2139584273099899,5.0,7.130898952484131
96,0.2231435477733612,6.0,8.289036750793457
97,0.5456665754318237,9.0,8.237479209899902
