code,tau,rmse_orig_median_seed,rmse_new_median_seed,delta,rel_pct
A3_B11,0.1,1.002071,0.948888,-0.053183,-5.307265
A3_B11,0.3,1.123238,1.087553,-0.035686,-3.177029
A3_B11,0.4,1.161016,1.133432,-0.027584,-2.375884
A3_B11,0.5,1.185048,1.178217,-0.006831,-0.576422
A3_B11,0.6,1.223032,1.239178,0.016147,1.320227
A3_B11,0.7,1.275789,1.318108,0.042318,3.317042
A3_B11,0.9,1.870852,1.987101,0.116249,6.213687
A3_B4,0.1,0.281471,0.34081,0.059338,21.08151
A3_B4,0.3,0.109873,0.120845,0.010971,9.985464
A3_B4,0.4,0.08205,0.08864,0.00659,8.031986
A3_B4,0.5,0.066806,0.067062,0.000256,0.382749
A3_B4,0.6,0.061917,0.059721,-0.002196,-3.546912
A3_B4,0.7,0.065856,0.063025,-0.002831,-4.299134
A3_B4,0.9,0.155393,0.183041,0.027648,17.792296
A3_B5,0.1,0.981087,1.091088,0.11,11.212073
A3_B5,0.3,0.735195,0.776893,0.041697,5.671619
A3_B5,0.4,0.681456,0.700054,0.018598,2.729158
A3_B5,0.5,0.676327,0.692181,0.015854,2.344188
A3_B5,0.6,0.689144,0.708411,0.019267,2.795801
A3_B5,0.7,0.716747,0.743234,0.026487,3.695446
A3_B5,0.9,0.88999,0.959739,0.069749,7.837056
A9_B11,0.1,1.200173,1.142111,-0.058062,-4.837765
A9_B11,0.3,1.195488,1.133593,-0.061895,-5.177378
A9_B11,0.4,1.226779,1.216475,-0.010304,-0.839956
A9_B11,0.5,1.255205,1.253553,-0.001653,-0.13167
A9_B11,0.6,1.433156,1.423867,-0.009289,-0.648137
A9_B11,0.7,1.634328,1.671039,0.036712,2.246288
A9_B11,0.9,2.462491,2.689776,0.227285,9.229869
A9_B4,0.1,0.171692,0.195016,0.023324,13.584522
A9_B4,0.3,0.0986,0.103789,0.00519,5.2635
A9_B4,0.4,0.087275,0.090361,0.003086,3.536367
A9_B4,0.5,0.080079,0.078249,-0.001829,-2.284336
A9_B4,0.6,0.073378,0.069655,-0.003723,-5.074096
A9_B4,0.7,0.068077,0.062763,-0.005315,-7.807086
A9_B4,0.9,0.081989,0.093807,0.011818,14.414454
A9_B5,0.1,0.877485,0.967067,0.089581,10.208881
A9_B5,0.3,0.528336,0.539752,0.011416,2.160719
A9_B5,0.4,0.482558,0.472836,-0.009722,-2.01459
A9_B5,0.5,0.488269,0.47749,-0.010779,-2.207581
A9_B5,0.6,0.51937,0.523446,0.004076,0.784788
A9_B5,0.7,0.558115,0.577097,0.018982,3.401117
A9_B5,0.9,0.83735,0.948157,0.110807,13.233008
